1025 4  18 1 62
1026 4  18 1 147
1027 4  62 1 147
1028 4  1 18 3
1029 4  1 18 4
1030 4  3 18 4
1031 4  1 62 44
1032 4  1 62 47
1033 4  44 62 47
1034 4  1 147 133
1035 4  1 147 176
1036 4  133 147 176
1037 4  17 2 20
1038 4  17 2 64
1039 4  20 2 64
1040 4  2 17 3
1041 4  2 17 47
1042 4  3 17 47
1043 4  2 20 5
1044 4  2 20 6
1045 4  5 20 6
1046 4  2 64 46
1047 4  2 64 48
1048 4  46 64 48
1049 4  17 3 18
1050 4  17 3 21
1051 4  18 3 21
1052 4  3 21 6
1053 4  3 21 7
1054 4  6 21 7
1055 4  18 4 22
1056 4  18 4 151
1057 4  22 4 151
1058 4  4 22 7
1059 4  4 22 8
1060 4  7 22 8
1061 4  4 151 133
1062 4  4 151 137
1063 4  133 151 137
1064 4  19 5 20
1065 4  19 5 23
1066 4  20 5 23
1067 4  5 19 48
1068 4  5 19 385
1069 4  48 19 385
1070 4  5 23 9
1071 4  5 23 388
1072 4  9 23 388
1073 4  20 6 21
1074 4  20 6 24
1075 4  21 6 24
1076 4  6 24 9
1077 4  6 24 10
1078 4  9 24 10
1079 4  21 7 22
1080 4  21 7 25
1081 4  22 7 25
1082 4  7 25 10
1083 4  7 25 11
1084 4  10 25 11
1085 4  22 8 26
1086 4  22 8 155
1087 4  26 8 155
1088 4  8 26 11
1089 4  8 26 12
1090 4  11 26 12
1091 4  8 155 137
1092 4  8 155 141
1093 4  137 155 141
1094 4  23 9 24
1095 4  23 9 27
1096 4  24 9 27
1097 4  9 27 13
1098 4  9 27 392
1099 4  13 27 392
1100 4  24 10 25
1101 4  24 10 28
1102 4  25 10 28
1103 4  10 28 13
1104 4  10 28 14
1105 4  13 28 14
1106 4  25 11 26
1107 4  25 11 29
1108 4  26 11 29
1109 4  11 29 14
1110 4  11 29 15
1111 4  14 29 15
1112 4  26 12 30
1113 4  26 12 159
1114 4  30 12 159
1115 4  12 30 15
1116 4  12 30 97
1117 4  15 30 97
1118 4  12 159 141
1119 4  12 159 144
1120 4  141 159 144
1121 4  27 13 28
1122 4  27 13 31
1123 4  28 13 31
1124 4  13 31 16
1125 4  13 31 396
1126 4  16 31 396
1127 4  28 14 29
1128 4  28 14 32
1129 4  29 14 32
1130 4  14 32 16
1131 4  14 32 98
1132 4  16 32 98
1133 4  29 15 30
1134 4  29 15 113
1135 4  30 15 113
1136 4  15 113 98
1137 4  15 113 99
1138 4  98 113 99
1139 4  31 16 32
1140 4  31 16 115
1141 4  32 16 115
1142 4  16 115 101
1143 4  16 115 481
1144 4  101 115 481
1145 4  17 47 61
1146 4  17 47 62
1147 4  61 47 62
1148 4  19 48 63
1149 4  19 48 64
1150 4  63 48 64
1151 4  19 385 402
1152 4  19 385 446
1153 4  402 385 446
1154 4  23 388 402
1155 4  23 388 406
1156 4  402 388 406
1157 4  27 392 406
1158 4  27 392 410
1159 4  406 392 410
1160 4  30 97 114
1161 4  30 97 243
1162 4  114 97 243
1163 4  31 396 410
1164 4  31 396 414
1165 4  410 396 414
1166 4  32 98 113
1167 4  32 98 116
1168 4  113 98 116
1169 4  50 33 94
1170 4  50 33 179
1171 4  94 33 179
1172 4  33 50 35
1173 4  33 50 36
1174 4  35 50 36
1175 4  33 94 76
1176 4  33 94 79
1177 4  76 94 79
1178 4  33 179 165
1179 4  33 179 208
1180 4  165 179 208
1181 4  49 34 52
1182 4  49 34 96
1183 4  52 34 96
1184 4  34 49 35
1185 4  34 49 79
1186 4  35 49 79
1187 4  34 52 37
1188 4  34 52 38
1189 4  37 52 38
1190 4  34 96 78
1191 4  34 96 80
1192 4  78 96 80
1193 4  49 35 50
1194 4  49 35 53
1195 4  50 35 53
1196 4  35 53 38
1197 4  35 53 39
1198 4  38 53 39
1199 4  50 36 54
1200 4  50 36 183
1201 4  54 36 183
1202 4  36 54 39
1203 4  36 54 40
1204 4  39 54 40
1205 4  36 183 165
1206 4  36 183 169
1207 4  165 183 169
1208 4  51 37 52
1209 4  51 37 55
1210 4  52 37 55
1211 4  37 51 80
1212 4  37 51 417
1213 4  80 51 417
1214 4  37 55 41
1215 4  37 55 420
1216 4  41 55 420
1217 4  52 38 53
1218 4  52 38 56
1219 4  53 38 56
1220 4  38 56 41
1221 4  38 56 42
1222 4  41 56 42
1223 4  53 39 54
1224 4  53 39 57
1225 4  54 39 57
1226 4  39 57 42
1227 4  39 57 43
1228 4  42 57 43
1229 4  54 40 58
1230 4  54 40 187
1231 4  58 40 187
1232 4  40 58 43
1233 4  40 58 44
1234 4  43 58 44
1235 4  40 187 169
1236 4  40 187 173
1237 4  169 187 173
1238 4  55 41 56
1239 4  55 41 59
1240 4  56 41 59
1241 4  41 59 45
1242 4  41 59 424
1243 4  45 59 424
1244 4  56 42 57
1245 4  56 42 60
1246 4  57 42 60
1247 4  42 60 45
1248 4  42 60 46
1249 4  45 60 46
1250 4  57 43 58
1251 4  57 43 61
1252 4  58 43 61
1253 4  43 61 46
1254 4  43 61 47
1255 4  46 61 47
1256 4  58 44 62
1257 4  58 44 191
1258 4  62 44 191
1259 4  44 191 173
1260 4  44 191 176
1261 4  173 191 176
1262 4  59 45 60
1263 4  59 45 63
1264 4  60 45 63
1265 4  45 63 48
1266 4  45 63 428
1267 4  48 63 428
1268 4  60 46 61
1269 4  60 46 64
1270 4  61 46 64
1271 4  49 79 93
1272 4  49 79 94
1273 4  93 79 94
1274 4  51 80 95
1275 4  51 80 96
1276 4  95 80 96
1277 4  51 417 434
1278 4  51 417 478
1279 4  434 417 478
1280 4  55 420 434
1281 4  55 420 438
1282 4  434 420 438
1283 4  59 424 438
1284 4  59 424 442
1285 4  438 424 442
1286 4  63 428 442
1287 4  63 428 446
1288 4  442 428 446
1289 4  82 65 126
1290 4  82 65 211
1291 4  126 65 211
1292 4  65 82 67
1293 4  65 82 68
1294 4  67 82 68
1295 4  65 126 108
1296 4  65 126 111
1297 4  108 126 111
1298 4  65 211 197
1299 4  65 211 240
1300 4  197 211 240
1301 4  81 66 84
1302 4  81 66 128
1303 4  84 66 128
1304 4  66 81 67
1305 4  66 81 111
1306 4  67 81 111
1307 4  66 84 69
1308 4  66 84 70
1309 4  69 84 70
1310 4  66 128 110
1311 4  66 128 112
1312 4  110 128 112
1313 4  81 67 82
1314 4  81 67 85
1315 4  82 67 85
1316 4  67 85 70
1317 4  67 85 71
1318 4  70 85 71
1319 4  82 68 86
1320 4  82 68 215
1321 4  86 68 215
1322 4  68 86 71
1323 4  68 86 72
1324 4  71 86 72
1325 4  68 215 197
1326 4  68 215 201
1327 4  197 215 201
1328 4  83 69 84
1329 4  83 69 87
1330 4  84 69 87
1331 4  69 83 112
1332 4  69 83 449
1333 4  112 83 449
1334 4  69 87 73
1335 4  69 87 452
1336 4  73 87 452
1337 4  84 70 85
1338 4  84 70 88
1339 4  85 70 88
1340 4  70 88 73
1341 4  70 88 74
1342 4  73 88 74
1343 4  85 71 86
1344 4  85 71 89
1345 4  86 71 89
1346 4  71 89 74
1347 4  71 89 75
1348 4  74 89 75
1349 4  86 72 90
1350 4  86 72 219
1351 4  90 72 219
1352 4  72 90 75
1353 4  72 90 76
1354 4  75 90 76
1355 4  72 219 201
1356 4  72 219 205
1357 4  201 219 205
1358 4  87 73 88
1359 4  87 73 91
1360 4  88 73 91
1361 4  73 91 77
1362 4  73 91 456
1363 4  77 91 456
1364 4  88 74 89
1365 4  88 74 92
1366 4  89 74 92
1367 4  74 92 77
1368 4  74 92 78
1369 4  77 92 78
1370 4  89 75 90
1371 4  89 75 93
1372 4  90 75 93
1373 4  75 93 78
1374 4  75 93 79
1375 4  78 93 79
1376 4  90 76 94
1377 4  90 76 223
1378 4  94 76 223
1379 4  76 223 205
1380 4  76 223 208
1381 4  205 223 208
1382 4  91 77 92
1383 4  91 77 95
1384 4  92 77 95
1385 4  77 95 80
1386 4  77 95 460
1387 4  80 95 460
1388 4  92 78 93
1389 4  92 78 96
1390 4  93 78 96
1391 4  81 111 125
1392 4  81 111 126
1393 4  125 111 126
1394 4  83 112 127
1395 4  83 112 128
1396 4  127 112 128
1397 4  83 449 466
1398 4  83 449 510
1399 4  466 449 510
1400 4  87 452 466
1401 4  87 452 470
1402 4  466 452 470
1403 4  91 456 470
1404 4  91 456 474
1405 4  470 456 474
1406 4  95 460 474
1407 4  95 460 478
1408 4  474 460 478
1409 4  97 114 99
1410 4  97 114 100
1411 4  99 114 100
1412 4  97 243 144
1413 4  97 243 229
1414 4  144 243 229
1415 4  98 116 101
1416 4  98 116 102
1417 4  101 116 102
1418 4  113 99 114
1419 4  113 99 117
1420 4  114 99 117
1421 4  99 117 102
1422 4  99 117 103
1423 4  102 117 103
1424 4  114 100 118
1425 4  114 100 247
1426 4  118 100 247
1427 4  100 118 103
1428 4  100 118 104
1429 4  103 118 104
1430 4  100 247 229
1431 4  100 247 233
1432 4  229 247 233
1433 4  115 101 116
1434 4  115 101 119
1435 4  116 101 119
1436 4  101 119 105
1437 4  101 119 484
1438 4  105 119 484
1439 4  116 102 117
1440 4  116 102 120
1441 4  117 102 120
1442 4  102 120 105
1443 4  102 120 106
1444 4  105 120 106
1445 4  117 103 118
1446 4  117 103 121
1447 4  118 103 121
1448 4  103 121 106
1449 4  103 121 107
1450 4  106 121 107
1451 4  118 104 122
1452 4  118 104 251
1453 4  122 104 251
1454 4  104 122 107
1455 4  104 122 108
1456 4  107 122 108
1457 4  104 251 233
1458 4  104 251 237
1459 4  233 251 237
1460 4  119 105 120
1461 4  119 105 123
1462 4  120 105 123
1463 4  105 123 109
1464 4  105 123 488
1465 4  109 123 488
1466 4  120 106 121
1467 4  120 106 124
1468 4  121 106 124
1469 4  106 124 109
1470 4  106 124 110
1471 4  109 124 110
1472 4  121 107 122
1473 4  121 107 125
1474 4  122 107 125
1475 4  107 125 110
1476 4  107 125 111
1477 4  110 125 111
1478 4  122 108 126
1479 4  122 108 255
1480 4  126 108 255
1481 4  108 255 237
1482 4  108 255 240
1483 4  237 255 240
1484 4  123 109 124
1485 4  123 109 127
1486 4  124 109 127
1487 4  109 127 112
1488 4  109 127 492
1489 4  112 127 492
1490 4  124 110 125
1491 4  124 110 128
1492 4  125 110 128
1493 4  115 481 414
1494 4  115 481 498
1495 4  414 481 498
1496 4  119 484 498
