513 2  1 18
514 2  1 62
515 2  1 147
516 2  2 17
517 2  2 20
518 2  2 64
519 2  3 17
520 2  3 18
521 2  3 21
522 2  4 18
523 2  4 22
524 2  4 151
525 2  5 19
526 2  5 20
527 2  5 23
528 2  6 20
529 2  6 21
530 2  6 24
531 2  7 21
532 2  7 22
533 2  7 25
534 2  8 22
535 2  8 26
536 2  8 155
537 2  9 23
538 2  9 24
539 2  9 27
540 2  10 24
541 2  10 25
542 2  10 28
543 2  11 25
544 2  11 26
545 2  11 29
546 2  12 26
547 2  12 30
548 2  12 159
549 2  13 27
550 2  13 28
551 2  13 31
552 2  14 28
553 2  14 29
554 2  14 32
555 2  15 29
556 2  15 30
557 2  15 113
558 2  16 31
559 2  16 32
560 2  16 115
561 2  17 47
562 2  19 48
563 2  19 385
564 2  23 388
565 2  27 392
566 2  30 97
567 2  31 396
568 2  32 98
569 2  33 50
570 2  33 94
571 2  33 179
572 2  34 49
573 2  34 52
574 2  34 96
575 2  35 49
576 2  35 50
577 2  35 53
578 2  36 50
579 2  36 54
580 2  36 183
581 2  37 51
582 2  37 52
583 2  37 55
584 2  38 52
585 2  38 53
586 2  38 56
587 2  39 53
588 2  39 54
589 2  39 57
590 2  40 54
591 2  40 58
592 2  40 187
593 2  41 55
594 2  41 56
595 2  41 59
596 2  42 56
597 2  42 57
598 2  42 60
599 2  43 57
600 2  43 58
601 2  43 61
602 2  44 58
603 2  44 62
604 2  44 191
605 2  45 59
606 2  45 60
607 2  45 63
608 2  46 60
609 2  46 61
610 2  46 64
611 2  47 61
612 2  47 62
613 2  48 63
614 2  48 64
615 2  49 79
616 2  51 80
617 2  51 417
618 2  55 420
619 2  59 424
620 2  63 428
621 2  65 82
622 2  65 126
623 2  65 211
624 2  66 81
625 2  66 84
626 2  66 128
627 2  67 81
628 2  67 82
629 2  67 85
630 2  68 82
631 2  68 86
632 2  68 215
633 2  69 83
634 2  69 84
635 2  69 87
636 2  70 84
637 2  70 85
638 2  70 88
639 2  71 85
640 2  71 86
641 2  71 89
642 2  72 86
643 2  72 90
644 2  72 219
645 2  73 87
646 2  73 88
647 2  73 91
648 2  74 88
649 2  74 89
650 2  74 92
651 2  75 89
652 2  75 90
653 2  75 93
654 2  76 90
655 2  76 94
656 2  76 223
657 2  77 91
658 2  77 92
659 2  77 95
660 2  78 92
661 2  78 93
662 2  78 96
663 2  79 93
664 2  79 94
665 2  80 95
666 2  80 96
667 2  81 111
668 2  83 112
669 2  83 449
670 2  87 452
671 2  91 456
672 2  95 460
673 2  97 114
674 2  97 243
675 2  98 113
676 2  98 116
677 2  99 113
678 2  99 114
679 2  99 117
680 2  100 114
681 2  100 118
682 2  100 247
683 2  101 115
684 2  101 116
685 2  101 119
686 2  102 116
687 2  102 117
688 2  102 120
689 2  103 117
690 2  103 118
691 2  103 121
692 2  104 118
693 2  104 122
694 2  104 251
695 2  105 119
696 2  105 120
697 2  105 123
698 2  106 120
699 2  106 121
700 2  106 124
701 2  107 121
702 2  107 122
703 2  107 125
704 2  108 122
705 2  108 126
706 2  108 255
707 2  109 123
708 2  109 124
709 2  109 127
710 2  110 124
711 2  110 125
712 2  110 128
713 2  111 125
714 2  111 126
715 2  112 127
716 2  112 128
717 2  115 481
718 2  119 484
719 2  123 488
720 2  127 492
721 2  129 146
722 2  129 190
723 2  129 275
724 2  130 145
725 2  130 148
726 2  130 192
727 2  131 145
728 2  131 146
729 2  131 149
730 2  132 146
731 2  132 150
732 2  132 279
733 2  133 147
734 2  133 148
735 2  133 151
736 2  134 148
737 2  134 149
738 2  134 152
739 2  135 149
740 2  135 150
741 2  135 153
742 2  136 150
743 2  136 154
744 2  136 283
745 2  137 151
746 2  137 152
747 2  137 155
748 2  138 152
749 2  138 153
750 2  138 156
751 2  139 153
752 2  139 154
753 2  139 157
754 2  140 154
755 2  140 158
756 2  140 287
757 2  141 155
758 2  141 156
759 2  141 159
760 2  142 156
761 2  142 157
762 2  142 160
763 2  143 157
764 2  143 158
765 2  143 241
766 2  144 159
767 2  144 160
768 2  144 243
769 2  145 175
770 2  147 176
771 2  158 225
772 2  160 226
773 2  161 178
774 2  161 222
775 2  161 307
776 2  162 177
777 2  162 180
778 2  162 224
779 2  163 177
780 2  163 178
781 2  163 181
782 2  164 178
783 2  164 182
784 2  164 311
785 2  165 179
786 2  165 180
787 2  165 183
788 2  166 180
789 2  166 181
790 2  166 184
791 2  167 181
792 2  167 182
793 2  167 185
794 2  168 182
795 2  168 186
796 2  168 315
